Month,Land Payment,Construction Payment,Sales Income,Basement Income,Basement Expenses,Parking Lot Stock,Monthly Cashflow,Accumulated Cashflow
0,30000000,7870500.0,0.0,0,38305300.32,0,-76175800.32,-76175800.32
1,0,0.0,0.0,0,0,0,0.0,-76175800.32
2,0,15741000.0,21120000.0,750000,0,331,5709000.0,-70466800.32
3,0,0.0,21120000.0,750000,0,321,21870000.0,-48596800.31999999
4,0,0.0,21120000.0,750000,0,311,21870000.0,-26726800.319999993
5,0,2079000.0,21120000.0,750000,0,301,19371000.0,-7355800.319999993
6,0,15741000.0,13560000.0,750000,0,291,-1431000.0,-8786800.319999993
7,0,4158000.0,21120000.0,750000,0,281,17712000.0,8925199.680000007
8,0,0.0,21120000.0,750000,0,271,21450000.0,30375199.680000007
9,0,0.0,21120000.0,750000,0,261,21870000.0,52245199.68000001
10,0,0.0,6000000.0,750000,0,251,6750000.0,58995199.68000001
11,0,4158000.0,6000000.0,750000,0,241,2172000.0,61167199.68000001
12,0,7870500.0,6000000.0,750000,0,231,-1120500.0,60046699.68000001
13,0,0.0,6000000.0,750000,0,221,6750000.0,66796699.68000001
14,0,0.0,6000000.0,750000,0,211,6330000.0,73126699.68
15,0,0.0,6000000.0,750000,0,201,6750000.0,79876699.68
16,0,0.0,6000000.0,750000,0,191,6750000.0,86626699.68
17,0,2079000.0,6000000.0,750000,0,181,4251000.0,90877699.68
18,0,7870500.0,6000000.0,750000,0,171,-1120500.0,89757199.68
19,0,0.0,6000000.0,750000,0,161,6750000.0,96507199.68
20,0,0.0,0.0,750000,0,151,330000.0,96837199.68
21,0,0.0,0.0,750000,0,141,750000.0,97587199.68
22,0,0.0,0.0,750000,0,131,750000.0,98337199.68
23,0,2079000.0,0.0,750000,0,121,-1749000.0,96588199.68
24,0,7870500.0,0.0,750000,0,111,-7120500.0,89467699.68
25,0,0.0,0.0,750000,0,101,750000.0,90217699.68
26,0,0.0,0.0,750000,0,91,330000.0,90547699.68
27,0,0.0,0.0,750000,0,81,750000.0,91297699.68
28,0,0.0,0.0,750000,0,71,750000.0,92047699.68
29,0,2079000.0,0.0,750000,0,61,-1749000.0,90298699.68
30,0,7870500.0,0.0,750000,0,51,-7120500.0,83178199.68
31,0,0.0,0.0,750000,0,41,750000.0,83928199.68
32,0,0.0,0.0,750000,0,31,750000.0,84678199.68
33,0,0.0,0.0,750000,0,21,750000.0,85428199.68
34,0,0.0,0.0,750000,0,11,750000.0,86178199.68
35,0,2079000.0,0.0,75000,0,1,-2004000.0,84174199.68
36,0,7870500.0,0.0,0,0,0,-7870500.0,76303699.68
37,0,0.0,0.0,0,0,0,0.0,76303699.68
38,0,0.0,0.0,0,0,0,0.0,76303699.68
39,0,0.0,0.0,0,0,0,0.0,76303699.68
40,0,0.0,0.0,0,0,0,0.0,76303699.68
41,0,2079000.0,0.0,0,0,0,-2079000.0,74224699.68
42,0,0.0,0.0,0,0,0,0.0,74224699.68
43,0,0.0,0.0,0,0,0,0.0,74224699.68
44,0,0.0,0.0,0,0,0,0.0,74224699.68
45,0,0.0,0.0,0,0,0,0.0,74224699.68
46,0,0.0,0.0,0,0,0,0.0,74224699.68
47,0,0.0,0.0,0,0,0,0.0,74224699.68
48,0,0.0,0.0,0,0,0,0.0,74224699.68
49,0,0.0,0.0,0,0,0,0.0,74224699.68
50,0,0.0,0.0,0,0,0,0.0,74224699.68
51,0,0.0,0.0,0,0,0,0.0,74224699.68
52,0,0.0,0.0,0,0,0,0.0,74224699.68
53,0,0,0.0,0,0,0,0.0,74224699.68
54,0,0,0.0,0,0,0,0.0,74224699.68
55,0,0,0.0,0,0,0,0.0,74224699.68
56,0,0,0.0,0,0,0,0.0,74224699.68
57,0,0,0.0,0,0,0,0.0,74224699.68
58,0,0,0.0,0,0,0,0.0,74224699.68
59,0,0,0.0,0,0,0,0.0,74224699.68
60,0,0,0.0,0,0,0,0.0,74224699.68
61,0,0,0.0,0,0,0,0.0,74224699.68
62,0,0,0.0,0,0,0,0.0,74224699.68
63,0,0,0.0,0,0,0,0.0,74224699.68
64,0,0,0.0,0,0,0,0.0,74224699.68
65,0,0,0.0,0,0,0,0.0,74224699.68
66,0,0,0.0,0,0,0,0.0,74224699.68
67,0,0,0.0,0,0,0,0.0,74224699.68
68,0,0,0.0,0,0,0,0.0,74224699.68
69,0,0,0.0,0,0,0,0.0,74224699.68
70,0,0,0.0,0,0,0,0.0,74224699.68
71,0,0,0.0,0,0,0,0.0,74224699.68
